name,classification,description,available,default_price,small_price,medium_price,large_price
Ham and Cheese,Panini,,TRUE,140,,,
Chicken,Panini,,TRUE,140,,,
Spicy Tuna,Panini,,TRUE,140,,,
Angus Corned Beef,Panini,,TRUE,160,,,
Bacon and Cheese,Panini,,TRUE,140,,,
German Bratwurst,Panini,,TRUE,140,,,
Spanish Sardine,Panini,,TRUE,140,,,
